week_number,subject_abbreviation,year,type,weight,label,description,date,end_date,year_1,year_2,year_3,year_4,year_5,year_6
43,GS,4,proefwerk,2,Proefwerk Eerste Wereldoorlog,"H1 t/m H3: oorzaken, verloop en gevolgen van de Eerste Wereldoorlog.",,,,,,,,
43,WI,2,plan,,Meetkunde,"Pythagoras, gelijkvormigheid en de sinusregel.",,,,,,,,
43,EN,2,plan,,Grammar – present perfect,"Vorming en gebruik van de present perfect versus de simple past.",,,,,,,,
43,NA,5,so,1,SO elektromagnetisme deel 1,"Coulombwet en elektrisch veld: berekeningen en conceptvragen.",,,,,,,,
43,FR,3,presentatie,,Presentatie Frans,"Mondelinge presentatie van 3 minuten over het thema: les vacances.",,,,,,,,
44,SK,5,proefwerk,2,Proefwerk zuren basen en zouten,"Zuur-basenevenwichten, pH, titraties en buffersystemen.",,,,,,,,
44,NL,1,plan,,Spelling werkwoorden,"Herhaling sterke en zwakke werkwoorden: tegenwoordige en verleden tijd.",,,,,,,,
44,EN,4,luistertoets,1,Luistertoets unit 3-4,"Luisteroefeningen uit het leerboek met multiple choice en korte antwoorden.",,,,,,,,
44,WI,6,schoolexamen,,Schoolexamen analyse,"Differentiëren en integreren: regels, toepassingen en vraagstukken.",,,,,,,,
,,,school-wide,,Studiedag,"Teamvergadering en leerlingbespreking. Geen lessen voor leerlingen.",2026-10-30,,1,1,1,1,1,1
,,,school-wide,,Rapportbespreking,"Leerlingen bespreken tussenrapport met mentor. Individuele gesprekjes van 10 minuten.",2026-11-05,,1,1,1,1,1,1
45,WI,2,proefwerk,2,Proefwerk meetkunde,"Pythagoras, gelijkvormigheid en sinus/cosinus in rechthoekige driehoeken.",,,,,,,,
45,EN,2,so,1,SO present perfect,"Vertaalopdrachten, invuloefeningen en foutcorrectie.",,,,,,,,
45,BI,4,proefwerk,2,Proefwerk genetica,"DNA-structuur, mitose, meiose en erfelijkheid: kruisingsschema's.",,,,,,,,
45,GS,5,plan,,Koude Oorlog,"Start thema: IJzeren Gordijn, Trumandoctrine en Marshallplan.",,,,,,,,
46,NL,3,proefwerk,2,Proefwerk schrijfvaardigheid,"Betoog schrijven en samenvatten onder tijdsdruk (90 minuten).",,,,,,,,
46,EN,3,so,1,SO reading comprehension,"Twee teksten met meerkeuzevragen, open vragen en woordbetekenissen.",,,,,,,,
46,WI,4,so,1,SO goniometrie,"Sinus, cosinus en tangens in rechthoekige en niet-rechthoekige driehoeken.",,,,,,,,
46,SK,5,plan,,Organische chemie – introductie,"Alkanen en alkenen: naamgeving, structuurformules en eigenschappen.",,,,,,,,
46,BI,5,plan,,Ecologie,"Introductie: biotoop, populatie, ecosysteem en voedselketens.",,,,,,,,
,,,school-wide,,Rapportuitreiking,"Leerlingen ontvangen hun rapport. Korte gesprekjes met mentor mogelijk.",2026-11-20,,1,1,1,1,1,1
47,WI,3,plan,,Goniometrie – eenheidscirkel,"Cirkelgrootheden, radialen en de eenheidscirkel: sin en cos voor alle hoeken.",,,,,,,,
47,NA,5,proefwerk,2,Proefwerk elektromagnetisme en golven,"Elektrische kringen, golfbewegingen en lichtbreking.",,,,,,,,
47,GS,5,so,1,SO Koude Oorlog H1,"Oorzaken en het begin van de Koude Oorlog: 1945–1953.",,,,,,,,
47,EN,1,plan,,Vocabulary unit 3,"Thema School Life: 25 nieuwe woorden, uitdrukkingen en collocaties.",,,,,,,,
